origin,destination,count
"Belgium","Burundi","605"
"France","Burundi","302"
"Democratic Republic of the Congo","Burundi","167768"
"Kenya","Burundi","1032"
"Rwanda","Burundi","64363"
"Uganda","Burundi","891"
"United Republic of Tanzania","Burundi","28008"
"France","Comoros","482"
"Kenya","Comoros","76"
"Madagascar","Comoros","9651"
"Réunion","Comoros","850"
"United Republic of Tanzania","Comoros","145"
"Yemen","Djibouti","265"
"Ethiopia","Djibouti","12323"
"Somalia","Djibouti","93042"
"India","Eritrea","119"
"China","Eritrea","135"
"France","Eritrea","436"
"United Kingdom of Great Britain and Northern Ireland","Eritrea","56"
"Sudan","Eritrea","208"
"Angola","Eritrea","346"
"Democratic Republic of the Congo","Eritrea","1688"
"South Africa","Eritrea","122"
"Burundi","Eritrea","1046"
"Comoros","Eritrea","192"
"Ethiopia","Eritrea","108"
"Kenya","Eritrea","351"
"Malawi","Eritrea","772"
"Mozambique","Eritrea","1107"
"Rwanda","Eritrea","467"
"Somalia","Eritrea","2457"
"South Sudan","Eritrea","1490"
"Uganda","Eritrea","1524"
"United Republic of Tanzania","Eritrea","526"
"Zambia","Eritrea","241"
"Zimbabwe","Eritrea","324"
"Yemen","Ethiopia","145"
"Sudan","Ethiopia","24539"
"Democratic Republic of the Congo","Ethiopia","102"
"Burundi","Ethiopia","40"
"Djibouti","Ethiopia","3705"
"Eritrea","Ethiopia","156030"
"Rwanda","Ethiopia","150"
"Somalia","Ethiopia","442910"
"South Sudan","Ethiopia","375202"
"Uganda","Ethiopia","218"
"Sudan","Kenya","7614"
"Democratic Republic of the Congo","Kenya","11292"
"Namibia","Kenya","68"
"South Africa","Kenya","112"
"Burundi","Kenya","4345"
"Eritrea","Kenya","2127"
"Ethiopia","Kenya","36889"
"Mozambique","Kenya","601"
"Rwanda","Kenya","6330"
"Somalia","Kenya","488470"
"South Sudan","Kenya","92355"
"Uganda","Kenya","333789"
"United Republic of Tanzania","Kenya","39935"
"India","Madagascar","1581"
"China","Madagascar","1979"
"France","Madagascar","8950"
"Comoros","Madagascar","10953"
"India","Malawi","2390"
"United Kingdom of Great Britain and Northern Ireland","Malawi","1460"
"Congo","Malawi","1395"
"Democratic Republic of the Congo","Malawi","2210"
"South Africa","Malawi","8174"
"Burundi","Malawi","5250"
"Mozambique","Malawi","54183"
"Rwanda","Malawi","4576"
"Somalia","Malawi","54"
"United Republic of Tanzania","Malawi","9507"
"Zambia","Malawi","42362"
"Zimbabwe","Malawi","36753"
"Bangladesh","Mauritius","8327"
"India","Mauritius","8651"
"Pakistan","Mauritius","187"
"Sri Lanka","Mauritius","1126"
"Malaysia","Mauritius","61"
"China","Mauritius","2951"
"China, Hong Kong Special Administrative Region","Mauritius","23"
"Japan","Mauritius","9"
"Italy","Mauritius","146"
"Spain","Mauritius","27"
"Belgium","Mauritius","118"
"France","Mauritius","1505"
"Germany","Mauritius","136"
"Switzerland","Mauritius","105"
"Russian Federation","Mauritius","49"
"Ireland","Mauritius","50"
"United Kingdom of Great Britain and Northern Ireland","Mauritius","454"
"South Africa","Mauritius","622"
"Madagascar","Mauritius","2277"
"Seychelles","Mauritius","124"
"Canada","Mauritius","36"
"United States of America","Mauritius","49"
"France","Mayotte","10050"
"Comoros","Mayotte","59811"
"Madagascar","Mayotte","5535"
"India","Mozambique","2434"
"Pakistan","Mozambique","1282"
"Portugal","Mozambique","4420"
"Democratic Republic of the Congo","Mozambique","2337"
"Cabo Verde","Mozambique","6776"
"Lesotho","Mozambique","7840"
"South Africa","Mozambique","8897"
"Malawi","Mozambique","77488"
"United Republic of Tanzania","Mozambique","7652"
"Zambia","Mozambique","5943"
"Zimbabwe","Mozambique","25429"
"France","Réunion","84056"
"Comoros","Réunion","2215"
"Madagascar","Réunion","16763"
"Mauritius","Réunion","5059"
"Mayotte","Réunion","6507"
"Democratic Republic of the Congo","Rwanda","230622"
"Burundi","Rwanda","64501"
"Kenya","Rwanda","2581"
"Uganda","Rwanda","92195"
"United Republic of Tanzania","Rwanda","42776"
"Bangladesh","Seychelles","221"
"India","Seychelles","6489"
"Maldives","Seychelles","38"
"Nepal","Seychelles","177"
"Pakistan","Seychelles","25"
"Sri Lanka","Seychelles","600"
"Indonesia","Seychelles","142"
"Philippines","Seychelles","707"
"Thailand","Seychelles","239"
"China","Seychelles","512"
